name,ctype,csubtype,contract,address,all_categories
Blazpay,AI,Abstraction Infrastructure,EntryPass,0x0768bdd56a00fe7e18a91033d4b84ddbb74d0201,AI::Abstraction Infrastructure
Blazpay,AI,Abstraction Infrastructure,GamesV2,0xaadecc979ac53fca7ee6b8f2a94a85f8f7f23729,AI::Abstraction Infrastructure
Blazpay,AI,Abstraction Infrastructure,StakeStone,0xf38c90bbecee227a7ae153b1fa4c7216292c8b61,AI::Abstraction Infrastructure
Blazpay,AI,Abstraction Infrastructure,BlazpayProducts,0x07eecef54b0a8f22b3f388997fd3a2c7e056dc7b,AI::Abstraction Infrastructure
Monad Baby,AI,Agent Launchpad,unknown0,0xeecd02c2e160516ad2bd0e089e7d6d83d558ca25,AI::Agent Launchpad
Monad Baby,AI,Agent Launchpad,unknown1,0x39cc8293c8d08a57f97c7be82909ef2171588079,AI::Agent Launchpad
aiCraft.fun,AI,Agent Launchpad,default,0xd227d3bce59b91380b7bc4a61a045b528b509439,AI::Agent Launchpad
Proof-of-Skill,AI,Consumer AI,protocol,0xca28b582af1e1701a1c91fb19f8633b79ad2e572,AI::Consumer AI
Codatta,AI,Data,default,0x7ddd7de29a12c122ac6a97584aa734b5d096ef8f,AI::Data
Monadata AI,AI,Data,default,0xa1848085c2a7804516c14faac35f1899ee74cb51,AI::Data;DePIN::Data Labelling
OpenPad AI,AI,Data,contract,0x179fd30f3924be36f6d61f750ee8054effab49c3,AI::Data
Fortytwo,AI,Inference,Core,0xdf26b347a02e74cd8bf6f562454826cd49cc6cb1,AI::Inference
Fortytwo,AI,Inference,NodeRatings,0x66a49be7a0dc3150146d2db64f4aa46c3e1562a5,AI::Inference
MemeAIAssistant,AI,Other,Daily SignIn,0x18f72532ec1511e3a5132d1f114d5fac30ca9226,AI::Other
MemeAIAssistant,AI,Other,Meme NFT,0x36a9305eb14906a3676f772375d59b3495da9c1e,AI::Other
MonadAI,AI,Other,Bonding Curve,0xa6ec9703d00910a4958419e9b51b2644ccb47d8d,AI::Other
MonadAI,AI,Other,MFactory,0x599de100b68c931f05f75f0df340529a8f040255,AI::Other
MonadAI,AI,Other,MRouter,0xb5e91e0259e01bcc488c1bca4611cbe1b6c7e700,AI::Other
Chaquen,Consumer,Betting,LeagueFactory,0x959713387eb8ce3ee98bd3f6f0ff622a8bb17e93,Consumer::Betting
Chaquen,Consumer,Betting,ChaquenPoints,0x69e7352d0c5f644caa65864198647f7fc420e4f2,Consumer::Betting
Chaquen,Consumer,Betting,PlayerNFT,0x5f505e4862b2e8b34ffffeeb2c397d211d644a5a,Consumer::Betting
Griffy,Consumer,Betting,default,0x14d2d2c5caf9e5611f9633a7bf73efe75d6750ca,Consumer::Betting
M0narch,Consumer,Betting,Roulette,0x32abcb3ec874c934bfb81fc66bc7943bf3dacde7,Consumer::Betting;Consumer::Prediction Market
M0narch,Consumer,Betting,ChestsUpdated,0x80f9cefc95699b7941dfa1f52c9c75d7c5e361bd,Consumer::Betting;Consumer::Prediction Market
M0narch,Consumer,Betting,Plinko,0xb320c0db0e7d2feeda4cf09dbd009450561c551e,Consumer::Betting;Consumer::Prediction Market
M0narch,Consumer,Betting,RPSUpdated,0x77371f7452aff5fcaa3a3b59a11794db19af5981,Consumer::Betting;Consumer::Prediction Market
M0narch,Consumer,Betting,MonRoll,0xeb2a705cea0fa7c9c37511a6c09cdfcf2e0b1b95,Consumer::Betting;Consumer::Prediction Market
